Mode frequency =  0.14515E+02 Hz
 
Station,X(m),UX,UY,UZ,ROTX,ROTY,ROTZ
    1.,  0.0000, 0.49327E-15,-0.12376E-01, 0.12376E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00
    2.,  1.0115,-0.30158E-16,-0.12154E-01, 0.12154E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00
    3.,  2.0230, 0.40483E-15,-0.11663E-01, 0.11663E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00
    4.,  3.0345, 0.34427E-15,-0.10894E-01, 0.10894E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00
    5.,  4.0460, 0.87784E-15,-0.98680E-02, 0.98680E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00
    6.,  5.0575,-0.15731E-15,-0.86080E-02, 0.86080E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00
    7.,  6.0690, 0.65197E-15,-0.71444E-02, 0.71444E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00
    8.,  7.0805, 0.23428E-15,-0.55117E-02, 0.55117E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00
    9.,  8.0920, 0.38726E-15,-0.37485E-02, 0.37485E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00
   10.,  9.1035, 0.39825E-15,-0.18967E-02, 0.18967E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00
   11., 10.1150, 0.36928E-15,-0.74439E-15, 0.12244E-14, 0.00000E+00, 0.00000E+00, 0.00000E+00
   12., 11.1265, 0.18527E-15, 0.18967E-02,-0.18967E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00
   13., 12.1380, 0.34159E-15, 0.37485E-02,-0.37485E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00
   14., 13.1495, 0.42757E-15, 0.55117E-02,-0.55117E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00
   15., 14.1610, 0.15238E-15, 0.71444E-02,-0.71444E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00
   16., 15.1725, 0.72212E-15, 0.86080E-02,-0.86080E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00
   17., 16.1840, 0.90996E-17, 0.98680E-02,-0.98680E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00
   18., 17.1955, 0.33804E-15, 0.10894E-01,-0.10894E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00
   19., 18.2070, 0.21366E-15, 0.11663E-01,-0.11663E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00
   20., 19.2185, 0.34207E-15, 0.12154E-01,-0.12154E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00
   21., 20.2300, 0.36267E-15, 0.12376E-01,-0.12376E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00
