Mode frequency =  0.12535E+02 Hz
 
Station,X(m),UX,UY,UZ,ROTX,ROTY,ROTZ
    1.,  0.0000,-0.15179E-17, 0.14269E-01,-0.95815E-02,-0.14420E-15,-0.11980E-02,-0.17828E-02
    2.,  1.0115,-0.32526E-18, 0.12350E-01,-0.82883E-02,-0.13856E-15,-0.11932E-02,-0.17815E-02
    3.,  2.0230,-0.26021E-17, 0.10236E-01,-0.68715E-02,-0.10419E-15,-0.11903E-02,-0.17679E-02
    4.,  3.0345,-0.32526E-18, 0.80333E-02,-0.53943E-02, 0.20600E-16,-0.11695E-02,-0.17503E-02
    5.,  4.0460,-0.11276E-16, 0.57948E-02,-0.38922E-02,-0.24286E-16,-0.11528E-02,-0.17090E-02
    6.,  5.0575,-0.18540E-16, 0.35367E-02,-0.23761E-02, 0.85706E-16,-0.11088E-02,-0.16618E-02
    7.,  6.0690,-0.20166E-16, 0.12998E-02,-0.87220E-03, 0.25533E-16,-0.10701E-02,-0.15846E-02
    8.,  7.0805, 0.41200E-17,-0.87028E-03, 0.58273E-03, 0.69931E-17,-0.10002E-02,-0.15006E-02
    9.,  8.0920,-0.16805E-16,-0.29376E-02, 0.19585E-02,-0.13336E-16,-0.93603E-03,-0.13851E-02
   10.,  9.1035,-0.39682E-16,-0.48444E-02, 0.32471E-02,-0.77195E-16,-0.84156E-03,-0.12634E-02
   11., 10.1150,-0.49548E-16,-0.65245E-02, 0.44107E-02,-0.20708E-16,-0.75250E-03,-0.11135E-02
   12., 11.1265,-0.43043E-16,-0.79990E-02, 0.53680E-02,-0.84459E-16,-0.63946E-03,-0.95836E-03
   13., 12.1380,-0.37134E-16,-0.92077E-02, 0.61675E-02,-0.19841E-16,-0.52960E-03,-0.78430E-03
   14., 13.1495,-0.36971E-16,-0.10124E-01, 0.67927E-02, 0.65811E-16,-0.40577E-03,-0.60713E-03
   15., 14.1610,-0.46133E-16,-0.10751E-01, 0.72154E-02, 0.13498E-15,-0.28349E-03,-0.42137E-03
   16., 15.1725,-0.51337E-16,-0.11076E-01, 0.74319E-02, 0.19852E-15,-0.15860E-03,-0.23501E-03
   17., 16.1840,-0.28667E-16,-0.11091E-01, 0.74436E-02, 0.19158E-15,-0.32945E-04,-0.52164E-04
   18., 17.1955,-0.29612E-16,-0.10805E-01, 0.72503E-02, 0.11839E-15, 0.82925E-04, 0.12881E-03
   19., 18.2070,-0.51933E-16,-0.10231E-01, 0.68564E-02, 0.93350E-16, 0.20195E-03, 0.29379E-03
   20., 19.2185,-0.42419E-16,-0.93658E-02, 0.62863E-02, 0.51933E-16, 0.29905E-03, 0.45427E-03
   21., 20.2300,-0.26238E-16,-0.82404E-02, 0.55582E-02,-0.10842E-16, 0.40118E-03, 0.58736E-03
   22., 21.2415,-0.20220E-16,-0.69063E-02, 0.46317E-02, 0.43368E-18, 0.46965E-03, 0.71330E-03
   23., 22.2530,-0.26942E-16,-0.53464E-02, 0.35779E-02,-0.41471E-16, 0.54581E-03, 0.80020E-03
   24., 23.2645,-0.51716E-16,-0.36382E-02, 0.24420E-02, 0.70853E-16, 0.57939E-03, 0.87864E-03
   25., 24.2760,-0.41525E-16,-0.18428E-02, 0.12392E-02, 0.79689E-16, 0.62159E-03, 0.91178E-03
   26., 25.2875,-0.43477E-16,-0.11621E-17,-0.21000E-16, 0.22520E-15, 0.61707E-03, 0.93544E-03
   27., 26.2990,-0.48789E-16, 0.18428E-02,-0.12392E-02, 0.20435E-15, 0.62159E-03, 0.91178E-03
   28., 27.3105,-0.81803E-16, 0.36382E-02,-0.24420E-02, 0.24026E-15, 0.57939E-03, 0.87864E-03
   29., 28.3220,-0.78550E-16, 0.53464E-02,-0.35779E-02, 0.18719E-15, 0.54581E-03, 0.80020E-03
   30., 29.3335,-0.94163E-16, 0.69063E-02,-0.46317E-02, 0.16653E-15, 0.46965E-03, 0.71330E-03
   31., 30.3450,-0.83213E-16, 0.82404E-02,-0.55582E-02, 0.10538E-15, 0.40118E-03, 0.58736E-03
   32., 31.3565,-0.86492E-16, 0.93658E-02,-0.62863E-02, 0.79580E-16, 0.29905E-03, 0.45427E-03
