Mode frequency =  0.12535E+02 Hz
 
Station,X(m),UX,UY,UZ,ROTX,ROTY,ROTZ
   33., 32.3680,-0.10053E-15, 0.10231E-01,-0.68564E-02, 0.85218E-16, 0.20195E-03, 0.29379E-03
   34., 33.3795,-0.10463E-15, 0.10805E-01,-0.72503E-02, 0.13444E-16, 0.82925E-04, 0.12881E-03
   35., 34.3910,-0.11132E-15, 0.11091E-01,-0.74436E-02,-0.72642E-17,-0.32945E-04,-0.52164E-04
   36., 35.4025,-0.11837E-15, 0.11076E-01,-0.74319E-02, 0.64727E-16,-0.15860E-03,-0.23501E-03
   37., 36.4140,-0.10457E-15, 0.10751E-01,-0.72154E-02,-0.63968E-17,-0.28349E-03,-0.42137E-03
   38., 37.4255,-0.86357E-16, 0.10124E-01,-0.67927E-02, 0.24937E-16,-0.40577E-03,-0.60713E-03
   39., 38.4370,-0.12127E-15, 0.92077E-02,-0.61675E-02, 0.21792E-16,-0.52960E-03,-0.78430E-03
   40., 39.4485,-0.10235E-15, 0.79990E-02,-0.53680E-02, 0.68522E-16,-0.63946E-03,-0.95836E-03
   41., 40.4600,-0.99096E-16, 0.65245E-02,-0.44107E-02, 0.93892E-16,-0.75250E-03,-0.11135E-02
   42., 41.4715,-0.75352E-16, 0.48444E-02,-0.32471E-02, 0.94922E-16,-0.84156E-03,-0.12634E-02
   43., 42.4830,-0.68847E-16, 0.29376E-02,-0.19585E-02, 0.28216E-16,-0.93603E-03,-0.13851E-02
   44., 43.4945,-0.64510E-16, 0.87028E-03,-0.58273E-03, 0.68901E-16,-0.10002E-02,-0.15006E-02
   45., 44.5060,-0.82616E-16,-0.12998E-02, 0.87220E-03,-0.18120E-16,-0.10701E-02,-0.15846E-02
   46., 45.5175,-0.80231E-16,-0.35367E-02, 0.23761E-02,-0.74268E-17,-0.11088E-02,-0.16618E-02
   47., 46.5290,-0.52584E-16,-0.57948E-02, 0.38922E-02,-0.57029E-16,-0.11528E-02,-0.17090E-02
   48., 47.5405,-0.30791E-16,-0.80333E-02, 0.53943E-02,-0.39899E-16,-0.11695E-02,-0.17503E-02
   49., 48.5520,-0.97903E-16,-0.10236E-01, 0.68715E-02,-0.88471E-16,-0.11903E-02,-0.17679E-02
   50., 49.5635,-0.10397E-15,-0.12350E-01, 0.82883E-02,-0.49440E-16,-0.11932E-02,-0.17815E-02
   51., 50.5750,-0.78063E-16,-0.14269E-01, 0.95815E-02,-0.74593E-16,-0.11980E-02,-0.17828E-02
