Mode frequency =  0.53430E+01 Hz
 
Station,X(m),UX,UY,UZ,ROTX,ROTY,ROTZ
   17., 16.1840, 0.36754E-16,-0.66542E-02,-0.36202E-03,-0.25690E-15, 0.51278E-04,-0.96913E-03
   18., 17.1955, 0.35453E-16,-0.77754E-02,-0.42383E-03,-0.24096E-15, 0.49215E-04,-0.87780E-03
   19., 18.2070, 0.37269E-16,-0.87871E-02,-0.48426E-03,-0.22484E-15, 0.41284E-04,-0.78113E-03
   20., 19.2185, 0.43775E-16,-0.96817E-02,-0.52838E-03,-0.21101E-15, 0.38194E-04,-0.67914E-03
   21., 20.2300, 0.39384E-16,-0.10446E-01,-0.55315E-03,-0.19383E-15, 0.30277E-04,-0.57298E-03
   22., 21.2415, 0.40468E-16,-0.11075E-01,-0.60370E-03,-0.17980E-15, 0.25840E-04,-0.46283E-03
   23., 22.2530, 0.40102E-16,-0.11569E-01,-0.63558E-03,-0.16821E-15, 0.18473E-04,-0.34981E-03
   24., 23.2645, 0.43016E-16,-0.11923E-01,-0.64977E-03,-0.15023E-15, 0.13127E-04,-0.23440E-03
   25., 24.2760, 0.40525E-16,-0.12137E-01,-0.66072E-03,-0.13445E-15, 0.62035E-05,-0.11758E-03
   26., 25.2875, 0.41401E-16,-0.12209E-01,-0.66568E-03,-0.12554E-15, 0.37810E-17, 0.27962E-17
   27., 26.2990, 0.40498E-16,-0.12137E-01,-0.66072E-03,-0.11072E-15,-0.62035E-05, 0.11758E-03
   28., 27.3105, 0.44669E-16,-0.11923E-01,-0.64977E-03,-0.10023E-15,-0.13127E-04, 0.23440E-03
   29., 28.3220, 0.45726E-16,-0.11569E-01,-0.63558E-03,-0.91100E-16,-0.18473E-04, 0.34981E-03
   30., 29.3335, 0.44628E-16,-0.11075E-01,-0.60370E-03,-0.78971E-16,-0.25840E-04, 0.46283E-03
   31., 30.3450, 0.42718E-16,-0.10446E-01,-0.55315E-03,-0.66678E-16,-0.30277E-04, 0.57298E-03
   32., 31.3565, 0.45049E-16,-0.96817E-02,-0.52838E-03,-0.58344E-16,-0.38194E-04, 0.67914E-03
   33., 32.3680, 0.43260E-16,-0.87871E-02,-0.48426E-03,-0.44534E-16,-0.41284E-04, 0.78113E-03
   34., 33.3795, 0.48003E-16,-0.77754E-02,-0.42383E-03,-0.33224E-16,-0.49215E-04, 0.87780E-03
   35., 34.3910, 0.45347E-16,-0.66542E-02,-0.36202E-03,-0.23039E-16,-0.51278E-04, 0.96913E-03
   36., 35.4025, 0.47000E-16,-0.54304E-02,-0.29659E-03,-0.14454E-16,-0.59010E-04, 0.10540E-02
   37., 36.4140, 0.48518E-16,-0.41131E-02,-0.22453E-03,-0.10876E-16,-0.60010E-04, 0.11329E-02
   38., 37.4255, 0.49602E-16,-0.27119E-02,-0.14843E-03,-0.88837E-17,-0.67327E-04, 0.12046E-02
   39., 38.4370, 0.49006E-16,-0.12352E-02,-0.70076E-04, 0.31510E-18,-0.67372E-04, 0.12697E-02
   40., 39.4485, 0.48572E-16, 0.30696E-03, 0.16340E-04, 0.11784E-17,-0.74003E-04, 0.13274E-02
   41., 40.4600, 0.48410E-16, 0.18975E-02, 0.10955E-03, 0.88227E-17,-0.73301E-04, 0.13783E-02
   42., 41.4715, 0.53885E-16, 0.35322E-02, 0.19085E-03, 0.14938E-16,-0.79084E-04, 0.14218E-02
   43., 42.4830, 0.52530E-16, 0.52047E-02, 0.28020E-03, 0.18194E-16,-0.77759E-04, 0.14588E-02
   44., 43.4945, 0.54373E-16, 0.68991E-02, 0.37487E-03, 0.21006E-16,-0.82566E-04, 0.14890E-02
   45., 44.5060, 0.53234E-16, 0.86075E-02, 0.46813E-03, 0.22328E-16,-0.80945E-04, 0.15134E-02
   46., 45.5175, 0.52909E-16, 0.10321E-01, 0.56079E-03, 0.25181E-16,-0.84621E-04, 0.15317E-02
   47., 46.5290, 0.53722E-16, 0.12029E-01, 0.65366E-03, 0.33651E-16,-0.82985E-04, 0.15451E-02
   48., 47.5405, 0.53722E-16, 0.13724E-01, 0.74598E-03, 0.33854E-16,-0.85472E-04, 0.15539E-02
   49., 48.5520, 0.56487E-16, 0.15405E-01, 0.83758E-03, 0.47095E-16,-0.84182E-04, 0.15592E-02
   50., 49.5635, 0.54264E-16, 0.17060E-01, 0.92784E-03, 0.51662E-16,-0.85370E-04, 0.15616E-02
   51., 50.5750, 0.53451E-16, 0.18668E-01, 0.10145E-02, 0.64618E-16,-0.84782E-04, 0.15624E-02
