Mode frequency =  0.53430E+01 Hz
 
Station,X(m),UX,UY,UZ,ROTX,ROTY,ROTZ
    1.,  0.0000, 0.37297E-16, 0.18668E-01, 0.10145E-02,-0.36147E-15, 0.84782E-04,-0.15624E-02
    2.,  1.0115, 0.39031E-16, 0.17060E-01, 0.92784E-03,-0.36150E-15, 0.85370E-04,-0.15616E-02
    3.,  2.0230, 0.38814E-16, 0.15405E-01, 0.83758E-03,-0.35737E-15, 0.84182E-04,-0.15592E-02
    4.,  3.0345, 0.39573E-16, 0.13724E-01, 0.74598E-03,-0.35497E-15, 0.85472E-04,-0.15539E-02
    5.,  4.0460, 0.36646E-16, 0.12029E-01, 0.65366E-03,-0.34518E-15, 0.82985E-04,-0.15451E-02
    6.,  5.0575, 0.35128E-16, 0.10321E-01, 0.56079E-03,-0.34243E-15, 0.84621E-04,-0.15317E-02
    7.,  6.0690, 0.34911E-16, 0.86075E-02, 0.46813E-03,-0.34143E-15, 0.80945E-04,-0.15134E-02
    8.,  7.0805, 0.32797E-16, 0.68991E-02, 0.37487E-03,-0.33542E-15, 0.82566E-04,-0.14890E-02
    9.,  8.0920, 0.37080E-16, 0.52047E-02, 0.28020E-03,-0.33137E-15, 0.77759E-04,-0.14588E-02
   10.,  9.1035, 0.35074E-16, 0.35322E-02, 0.19085E-03,-0.32322E-15, 0.79084E-04,-0.14218E-02
   11., 10.1150, 0.35941E-16, 0.18975E-02, 0.10955E-03,-0.31984E-15, 0.73301E-04,-0.13783E-02
   12., 11.1265, 0.36538E-16, 0.30696E-03, 0.16340E-04,-0.31070E-15, 0.74003E-04,-0.13274E-02
   13., 12.1380, 0.35833E-16,-0.12352E-02,-0.70076E-04,-0.30153E-15, 0.67372E-04,-0.12697E-02
   14., 13.1495, 0.36700E-16,-0.27119E-02,-0.14843E-03,-0.29385E-15, 0.67327E-04,-0.12046E-02
   15., 14.1610, 0.38760E-16,-0.41131E-02,-0.22453E-03,-0.28277E-15, 0.60010E-04,-0.11329E-02
   16., 15.1725, 0.36971E-16,-0.54304E-02,-0.29659E-03,-0.26957E-15, 0.59010E-04,-0.10540E-02
