Mode frequency =  0.77253E+01 Hz
 
Station,X(m),UX,UY,UZ,ROTX,ROTY,ROTZ
    1.,  0.0000, 0.14423E-06,-0.26975E-15,-0.65052E-17,-0.10602E-01,-0.38067E-17, 0.34745E-16
    2.,  1.0115, 0.12739E-05,-0.26108E-15,-0.21250E-16,-0.10580E-01, 0.16902E-16, 0.33133E-16
    3.,  2.0230,-0.87386E-06,-0.25153E-15,-0.42934E-16,-0.10503E-01, 0.27296E-16, 0.60907E-17
    4.,  3.0345, 0.25949E-05,-0.23202E-15,-0.87604E-16,-0.10387E-01, 0.24908E-16,-0.50134E-18
    5.,  4.0460,-0.21110E-05,-0.21641E-15,-0.81966E-16,-0.10236E-01, 0.10856E-16, 0.10382E-16
    6.,  5.0575, 0.37641E-05,-0.15873E-15,-0.11623E-15,-0.10046E-01, 0.12248E-16, 0.38110E-16
    7.,  6.0690,-0.32705E-05,-0.14485E-15,-0.13661E-15,-0.98174E-02, 0.48164E-17, 0.34726E-16
    8.,  7.0805, 0.49189E-05,-0.11493E-15,-0.14832E-15,-0.95522E-02,-0.44738E-17, 0.21074E-17
    9.,  8.0920,-0.44011E-05,-0.10192E-15,-0.16263E-15,-0.92515E-02, 0.45500E-17, 0.37828E-17
   10.,  9.1035, 0.59787E-05,-0.85435E-16,-0.19255E-15,-0.89123E-02, 0.35781E-16, 0.38570E-16
   11., 10.1150,-0.53363E-05,-0.51608E-16,-0.21337E-15,-0.85411E-02, 0.16612E-16, 0.35153E-16
   12., 11.1265, 0.73750E-05,-0.63317E-16,-0.22291E-15,-0.81377E-02, 0.19407E-16, 0.31546E-16
   13., 12.1380,-0.62738E-05,-0.34694E-16,-0.23636E-15,-0.76920E-02,-0.42593E-17, 0.20768E-16
   14., 13.1495, 0.83144E-05,-0.29057E-16,-0.23571E-15,-0.72174E-02,-0.26011E-16, 0.97019E-17
   15., 14.1610,-0.71249E-05, 0.11709E-16,-0.23267E-15,-0.67175E-02, 0.71761E-17, 0.16710E-17
   16., 15.1725, 0.90861E-05, 0.20600E-16,-0.22920E-15,-0.61918E-02, 0.39821E-16, 0.23510E-16
   17., 16.1840,-0.78407E-05, 0.52259E-16,-0.23744E-15,-0.56425E-02, 0.12590E-16, 0.14911E-16
   18., 17.1955, 0.97560E-05, 0.77846E-16,-0.19017E-15,-0.50728E-02,-0.21650E-17, 0.88430E-18
