Mode frequency =  0.77253E+01 Hz
 
Station,X(m),UX,UY,UZ,ROTX,ROTY,ROTZ
   19., 18.2070,-0.84432E-05, 0.98229E-16,-0.18041E-15,-0.44831E-02,-0.14729E-16, 0.18103E-16
   20., 19.2185, 0.10235E-04, 0.11709E-15,-0.16122E-15,-0.38729E-02, 0.35571E-17, 0.50886E-17
   21., 20.2300,-0.87985E-05, 0.13683E-15,-0.15222E-15,-0.32569E-02,-0.27287E-17, 0.47582E-17
   22., 21.2415, 0.10767E-04, 0.13997E-15,-0.12913E-15,-0.26286E-02,-0.89595E-17, 0.74768E-17
   23., 22.2530,-0.91574E-05, 0.17174E-15,-0.11558E-15,-0.19778E-02,-0.16457E-16, 0.13023E-16
   24., 23.2645, 0.11051E-04, 0.18480E-15,-0.11888E-15,-0.13218E-02,-0.15394E-16, 0.64192E-17
   25., 24.2760,-0.93106E-05, 0.22400E-15,-0.94813E-16,-0.66256E-03, 0.60292E-17,-0.94448E-17
   26., 25.2875, 0.11114E-04, 0.20777E-15,-0.96084E-16,-0.18302E-15, 0.18198E-16,-0.62486E-17
   27., 26.2990,-0.93106E-05, 0.25259E-15,-0.84324E-16, 0.66256E-03,-0.27529E-16, 0.47612E-17
   28., 27.3105, 0.11051E-04, 0.23603E-15,-0.91561E-16, 0.13218E-02,-0.16140E-16, 0.13150E-16
   29., 28.3220,-0.91574E-05, 0.23365E-15,-0.60498E-16, 0.19778E-02,-0.18002E-16, 0.11048E-16
   30., 29.3335, 0.10767E-04, 0.20199E-15,-0.58764E-16, 0.26286E-02,-0.51805E-17,-0.33443E-16
   31., 30.3450,-0.87985E-05, 0.17759E-15,-0.28840E-16, 0.32569E-02, 0.26588E-17,-0.19910E-16
   32., 31.3565, 0.10235E-04, 0.14810E-15,-0.14854E-16, 0.38729E-02,-0.15010E-16,-0.89324E-17
   33., 32.3680,-0.84432E-05, 0.14723E-15, 0.34911E-16, 0.44831E-02,-0.20749E-16,-0.30116E-16
   34., 33.3795, 0.97560E-05, 0.11861E-15, 0.35562E-16, 0.50728E-02,-0.13539E-16,-0.12425E-16
   35., 34.3910,-0.78407E-05, 0.97145E-16, 0.52042E-16, 0.56425E-02,-0.33414E-16,-0.24961E-16
   36., 35.4025, 0.90861E-05, 0.63101E-16, 0.61800E-16, 0.61918E-02,-0.16380E-16,-0.16707E-16
   37., 36.4140,-0.71249E-05, 0.49006E-16, 0.78713E-16, 0.67175E-02,-0.15446E-16,-0.23429E-16
   38., 37.4255, 0.83144E-05, 0.23852E-17, 0.66787E-16, 0.72174E-02,-0.26906E-17,-0.50471E-16
   39., 38.4370,-0.62738E-05,-0.51391E-16, 0.74159E-16, 0.76920E-02,-0.46915E-17,-0.38696E-16
   40., 39.4485, 0.73750E-05,-0.94109E-16, 0.96711E-16, 0.81377E-02,-0.11014E-16,-0.48628E-17
   41., 40.4600,-0.53363E-05,-0.14789E-15, 0.97145E-16, 0.85411E-02,-0.14392E-16,-0.27047E-16
   42., 41.4715, 0.59787E-05,-0.19299E-15, 0.10192E-15, 0.89123E-02,-0.29646E-16,-0.40916E-16
   43., 42.4830,-0.44011E-05,-0.22682E-15, 0.10322E-15, 0.92515E-02, 0.92576E-17,-0.35904E-16
   44., 43.4945, 0.49189E-05,-0.26801E-15, 0.97578E-16, 0.95522E-02,-0.14952E-16,-0.28613E-16
   45., 44.5060,-0.32705E-05,-0.29924E-15, 0.11102E-15, 0.98174E-02, 0.33871E-18,-0.21536E-16
   46., 45.5175, 0.37641E-05,-0.31572E-15, 0.88905E-16, 0.10046E-01, 0.16139E-17,-0.38626E-16
   47., 46.5290,-0.21110E-05,-0.35779E-15, 0.89772E-16, 0.10236E-01, 0.17540E-16,-0.30576E-16
   48., 47.5405, 0.25949E-05,-0.38945E-15, 0.94109E-16, 0.10387E-01, 0.74560E-18,-0.36731E-16
   49., 48.5520,-0.87386E-06,-0.41937E-15, 0.71124E-16, 0.10503E-01,-0.27845E-17,-0.46257E-16
   50., 49.5635, 0.12739E-05,-0.44062E-15, 0.10105E-15, 0.10580E-01,-0.59243E-17,-0.38512E-16
   51., 50.5750, 0.14423E-06,-0.44409E-15, 0.91940E-16, 0.10602E-01, 0.12973E-16,-0.22288E-16
